title,classification,telephone,link web
Salute,Italian Restaurants,0191 584 0948 ,https://www.yell.com//biz/salute-houghton-le-spring-9565865/
Vesuvio,Italian Restaurants,0191 584 2223 ,https://www.yell.com//biz/vesuvio-houghton-le-spring-10141683/
Mama's Bar Grill Pizzeria,Italian Restaurants,0191 584 0088 ,https://www.yell.com//biz/mama-s-bar-grill-pizzeria-houghton-le-spring-7021167/
Amalfi Restaurant Within the Sun Inn,Italian Restaurants,0191 5841019 ,https://www.yell.com//biz/amalfi-restaurant-within-the-sun-inn-houghton-le-spring-9339175/
Amalfi,Italian Restaurants,0191 584 1019 ,https://www.yell.com//biz/amalfi-houghton-le-spring-10131341/
The Sun Inn,Pubs,0191 584 1019 ,https://www.yell.com//biz/the-sun-inn-houghton-le-spring-963128/
The Italian Farm House,Italian Restaurants,0191 584 1022 ,https://www.yell.com//biz/the-italian-farm-house-houghton-le-spring-6026920/
Tavistock Italia,Italian Restaurants,0191 5192006 ,https://www.yell.com//biz/tavistock-italia-sunderland-9439542/
Ristorante Fiume,Italian Restaurants,0191 415 0007 ,https://www.yell.com//biz/ristorante-fiume-washington-5585917/
Frankie & Benny's,Italian Restaurants,0191 526 4344 ,https://www.yell.com//biz/frankie-and-benny-s-seaham-9073736/
Roma Italian Restaurant,Italian Restaurants,0191 565 8569 ,https://www.yell.com//biz/roma-italian-restaurant-sunderland-5904428/
The Scullery,Italian Restaurants,0191 523 5905 ,https://www.yell.com//biz/the-scullery-sunderland-8097849/
Sorrento,Italian Restaurants,0191 510 8800 ,https://www.yell.com//biz/sorrento-sunderland-7250158/
Luciano Ristorante,Italian Restaurants,0191 564 0200 ,https://www.yell.com//biz/luciano-ristorante-sunderland-971008/
Francesca's,Italian Restaurants,0191 389 1919 ,https://www.yell.com//biz/francesca-s-chester-le-street-10146964/
Deano's,Italian Restaurants,0191 388 0052 ,https://www.yell.com//biz/deano-s-chester-le-street-9472684/
Tavistock Italia At The Board Inn,Italian Restaurants,0191 447 4487 ,https://www.yell.com//biz/tavistock-italia-at-the-board-inn-chester-le-street-7189378/
Massimos Restaurant,Italian Restaurants,0191 581 2348 ,https://www.yell.com//biz/massimos-restaurant-seaham-7312356/
Che Vita,Italian Restaurants,0191 384 1010 ,https://www.yell.com//biz/che-vita-durham-4234210/
Bistro Italiano,Italian Restaurants,0191 383 0374 ,https://www.yell.com//biz/bistro-italiano-durham-2716958/
Fabio's,Italian Restaurants,Telephone is not available,https://www.yell.com//biz/fabio-s-chester-le-street-9720798/
Sambuka,Italian Restaurants,0191 389 4466 ,https://www.yell.com//biz/sambuka-chester-le-street-8805238/
La Spaghattata,Italian Restaurants,0191 383 9290 ,https://www.yell.com//biz/la-spaghattata-durham-929269/
Ocean Basket,Italian Restaurants,0191 5212441 ,https://www.yell.com//biz/ocean-basket-sunderland-7628043/
Casa Italia,Italian Restaurants,0191 447 6960 ,https://www.yell.com//biz/casa-italia-sunderland-8322993/
Salute,Italian Restaurants,0191 584 0948 ,https://www.yell.com//biz/salute-houghton-le-spring-9565865/
Vesuvio,Italian Restaurants,0191 584 2223 ,https://www.yell.com//biz/vesuvio-houghton-le-spring-10141683/
Mama's Bar Grill Pizzeria,Italian Restaurants,0191 584 0088 ,https://www.yell.com//biz/mama-s-bar-grill-pizzeria-houghton-le-spring-7021167/
Amalfi Restaurant Within the Sun Inn,Italian Restaurants,0191 5841019 ,https://www.yell.com//biz/amalfi-restaurant-within-the-sun-inn-houghton-le-spring-9339175/
Amalfi,Italian Restaurants,0191 584 1019 ,https://www.yell.com//biz/amalfi-houghton-le-spring-10131341/
The Sun Inn,Pubs,0191 584 1019 ,https://www.yell.com//biz/the-sun-inn-houghton-le-spring-963128/
The Italian Farm House,Italian Restaurants,0191 584 1022 ,https://www.yell.com//biz/the-italian-farm-house-houghton-le-spring-6026920/
Tavistock Italia,Italian Restaurants,0191 5192006 ,https://www.yell.com//biz/tavistock-italia-sunderland-9439542/
Ristorante Fiume,Italian Restaurants,0191 415 0007 ,https://www.yell.com//biz/ristorante-fiume-washington-5585917/
Frankie & Benny's,Italian Restaurants,0191 526 4344 ,https://www.yell.com//biz/frankie-and-benny-s-seaham-9073736/
Roma Italian Restaurant,Italian Restaurants,0191 565 8569 ,https://www.yell.com//biz/roma-italian-restaurant-sunderland-5904428/
The Scullery,Italian Restaurants,0191 523 5905 ,https://www.yell.com//biz/the-scullery-sunderland-8097849/
Sorrento,Italian Restaurants,0191 510 8800 ,https://www.yell.com//biz/sorrento-sunderland-7250158/
Luciano Ristorante,Italian Restaurants,0191 564 0200 ,https://www.yell.com//biz/luciano-ristorante-sunderland-971008/
Francesca's,Italian Restaurants,0191 389 1919 ,https://www.yell.com//biz/francesca-s-chester-le-street-10146964/
Deano's,Italian Restaurants,0191 388 0052 ,https://www.yell.com//biz/deano-s-chester-le-street-9472684/
Tavistock Italia At The Board Inn,Italian Restaurants,0191 447 4487 ,https://www.yell.com//biz/tavistock-italia-at-the-board-inn-chester-le-street-7189378/
Massimos Restaurant,Italian Restaurants,0191 581 2348 ,https://www.yell.com//biz/massimos-restaurant-seaham-7312356/
Che Vita,Italian Restaurants,0191 384 1010 ,https://www.yell.com//biz/che-vita-durham-4234210/
Bistro Italiano,Italian Restaurants,0191 383 0374 ,https://www.yell.com//biz/bistro-italiano-durham-2716958/
Fabio's,Italian Restaurants,Telephone is not available,https://www.yell.com//biz/fabio-s-chester-le-street-9720798/
La Spaghattata,Italian Restaurants,0191 383 9290 ,https://www.yell.com//biz/la-spaghattata-durham-929269/
Sambuka,Italian Restaurants,0191 389 4466 ,https://www.yell.com//biz/sambuka-chester-le-street-8805238/
Ocean Basket,Italian Restaurants,0191 5212441 ,https://www.yell.com//biz/ocean-basket-sunderland-7628043/
Casa Italia,Italian Restaurants,0191 447 6960 ,https://www.yell.com//biz/casa-italia-sunderland-8322993/
Salute,Italian Restaurants,0191 584 0948 ,https://www.yell.com//biz/salute-houghton-le-spring-9565865/
Vesuvio,Italian Restaurants,0191 584 2223 ,https://www.yell.com//biz/vesuvio-houghton-le-spring-10141683/
Mama's Bar Grill Pizzeria,Italian Restaurants,0191 584 0088 ,https://www.yell.com//biz/mama-s-bar-grill-pizzeria-houghton-le-spring-7021167/
Amalfi Restaurant Within the Sun Inn,Italian Restaurants,0191 5841019 ,https://www.yell.com//biz/amalfi-restaurant-within-the-sun-inn-houghton-le-spring-9339175/
Amalfi,Italian Restaurants,0191 584 1019 ,https://www.yell.com//biz/amalfi-houghton-le-spring-10131341/
The Sun Inn,Pubs,0191 584 1019 ,https://www.yell.com//biz/the-sun-inn-houghton-le-spring-963128/
The Italian Farm House,Italian Restaurants,0191 584 1022 ,https://www.yell.com//biz/the-italian-farm-house-houghton-le-spring-6026920/
Tavistock Italia,Italian Restaurants,0191 5192006 ,https://www.yell.com//biz/tavistock-italia-sunderland-9439542/
Ristorante Fiume,Italian Restaurants,0191 415 0007 ,https://www.yell.com//biz/ristorante-fiume-washington-5585917/
Frankie & Benny's,Italian Restaurants,0191 526 4344 ,https://www.yell.com//biz/frankie-and-benny-s-seaham-9073736/
Roma Italian Restaurant,Italian Restaurants,0191 565 8569 ,https://www.yell.com//biz/roma-italian-restaurant-sunderland-5904428/
The Scullery,Italian Restaurants,0191 523 5905 ,https://www.yell.com//biz/the-scullery-sunderland-8097849/
Sorrento,Italian Restaurants,0191 510 8800 ,https://www.yell.com//biz/sorrento-sunderland-7250158/
Luciano Ristorante,Italian Restaurants,0191 564 0200 ,https://www.yell.com//biz/luciano-ristorante-sunderland-971008/
Francesca's,Italian Restaurants,0191 389 1919 ,https://www.yell.com//biz/francesca-s-chester-le-street-10146964/
Deano's,Italian Restaurants,0191 388 0052 ,https://www.yell.com//biz/deano-s-chester-le-street-9472684/
Tavistock Italia At The Board Inn,Italian Restaurants,0191 447 4487 ,https://www.yell.com//biz/tavistock-italia-at-the-board-inn-chester-le-street-7189378/
Massimos Restaurant,Italian Restaurants,0191 581 2348 ,https://www.yell.com//biz/massimos-restaurant-seaham-7312356/
Che Vita,Italian Restaurants,0191 384 1010 ,https://www.yell.com//biz/che-vita-durham-4234210/
Bistro Italiano,Italian Restaurants,0191 383 0374 ,https://www.yell.com//biz/bistro-italiano-durham-2716958/
Fabio's,Italian Restaurants,Telephone is not available,https://www.yell.com//biz/fabio-s-chester-le-street-9720798/
Sambuka,Italian Restaurants,0191 389 4466 ,https://www.yell.com//biz/sambuka-chester-le-street-8805238/
La Spaghattata,Italian Restaurants,0191 383 9290 ,https://www.yell.com//biz/la-spaghattata-durham-929269/
Ocean Basket,Italian Restaurants,0191 5212441 ,https://www.yell.com//biz/ocean-basket-sunderland-7628043/
Casa Italia,Italian Restaurants,0191 447 6960 ,https://www.yell.com//biz/casa-italia-sunderland-8322993/
Salute,Italian Restaurants,0191 584 0948 ,https://www.yell.com//biz/salute-houghton-le-spring-9565865/
Vesuvio,Italian Restaurants,0191 584 2223 ,https://www.yell.com//biz/vesuvio-houghton-le-spring-10141683/
Mama's Bar Grill Pizzeria,Italian Restaurants,0191 584 0088 ,https://www.yell.com//biz/mama-s-bar-grill-pizzeria-houghton-le-spring-7021167/
Amalfi Restaurant Within the Sun Inn,Italian Restaurants,0191 5841019 ,https://www.yell.com//biz/amalfi-restaurant-within-the-sun-inn-houghton-le-spring-9339175/
Amalfi,Italian Restaurants,0191 584 1019 ,https://www.yell.com//biz/amalfi-houghton-le-spring-10131341/
The Sun Inn,Pubs,0191 584 1019 ,https://www.yell.com//biz/the-sun-inn-houghton-le-spring-963128/
The Italian Farm House,Italian Restaurants,0191 584 1022 ,https://www.yell.com//biz/the-italian-farm-house-houghton-le-spring-6026920/
Tavistock Italia,Italian Restaurants,0191 5192006 ,https://www.yell.com//biz/tavistock-italia-sunderland-9439542/
Ristorante Fiume,Italian Restaurants,0191 415 0007 ,https://www.yell.com//biz/ristorante-fiume-washington-5585917/
Frankie & Benny's,Italian Restaurants,0191 526 4344 ,https://www.yell.com//biz/frankie-and-benny-s-seaham-9073736/
Roma Italian Restaurant,Italian Restaurants,0191 565 8569 ,https://www.yell.com//biz/roma-italian-restaurant-sunderland-5904428/
